ID, NAME,CATEGORY,DESCRIPTION,IMAGE,PRICE,ISAVAILABLE
1,Fjallraven-Foldsack Backpack,men's clothing,Stash your laptop (up to 15 inches) in the padded sleeve,https://fakestoreapi.com/img/81fPKd-2AYL._AC_SL1500_.jpg,109,TRUE
2,Men's casual premium slim Fit T-Shirts,men's clothing,Slim-fitting style contrast raglan long sleeve,https://fakestoreapi.com/img/71-3HjGNDUL._AC_SY879._SX._UX._SY._UY_.jpg,499,TRUE
3,Mens Cotton Jacket,men's clothing,Great outerwear jackets for Spring/Autumn/Winter suitable for many occasions,https://fakestoreapi.com/img/71li-ujtlUL._AC_UX679_.jpg,1999,TRUE
4,Mens Casual Slim Fit,men's clothing,The color could be slightly different between on the screen and in practice,https://fakestoreapi.com/img/71YXzeOuslL._AC_UY879_.jpg,349,TRUE
5,John Hardy Women's Chain Bracelet,Jewelery, Wear facing inward to be bestowed with love and abundance,https://fakestoreapi.com/img/71pWzhdJNwL._AC_UL640_QL65_ML3_.jpg,249,TRUE
6,Solid Gold Petite Micropave ,Jewelery,Designed and sold by Hafeez Center in the United States,https://fakestoreapi.com/img/61sbMiUnoGL._AC_UL640_QL65_ML3_.jpg,879,TRUE
7,White Gold Plated Princess,Jewelery,Classic Created Wedding Engagement Solitaire Diamond Promise Ring for Her,https://fakestoreapi.com/img/71YAIFU48IL._AC_UL640_QL65_ML3_.jpg,199,TRUE
8,Pierced Owl Rose Gold Plated Stainless Steel Double,Jewelery,Rose Gold Plated Double Flared Tunnel Plug Earrings,https://fakestoreapi.com/img/51UDEzMJVpL._AC_UL640_QL65_ML3_.jpg,799,TRUE
9,Portable External Hard Drive USB 3.0 ,Electronics,USB 3.0 and USB 2.0 Compatibility Fast data transfers Improve PC Performance High Capacity,https://fakestoreapi.com/img/61IBBVJvSDL._AC_SY879_.jpg,399,TRUE
10,SanDisk SSD PLUS 1TB Internal SSD ,Electronics,Easy upgrade for faster boot up  shutdown application load and response ,https://fakestoreapi.com/img/61U7T1koQqL._AC_SX679_.jpg,449,TRUE
11,Silicon Power 256GB SSD 3D NAND A55 SLC ,Electronics,3D NAND flash are applied to deliver high transfer speeds Remarkable transfer speeds,https://fakestoreapi.com/img/71kWymZ+c+L._AC_SX679_.jpg,2999,TRUE
12,WD 4TB Gaming Drive with Playstation 4 ,Electronics,Expand your PS4 gaming experience Play anywhere Fast and easy,https://fakestoreapi.com/img/61mtL65D4cL._AC_SX679_.jpg,18999,TRUE
13,Acer SB220Q bi 21.5 inches Full HD (1920 x 1080) IPS Ultra-Thin,Electronics,21. 5 inches Full HD (1920 x 1080) widescreen IPS display And Radeon free Sync technology,https://fakestoreapi.com/img/81QpkIctqPL._AC_SX679_.jpg,14999,TRUE
14,Samsung 49-Inch Curved Gaming Monitor,Electronics,49 INCH SUPER ULTRAWIDE 32:9 CURVED GAMING MONITOR,https://fakestoreapi.com/img/81Zt42ioCgL._AC_SX679_.jpg,24999,TRUE
15,BIYLACLESEN Women's 3-in-1 Snowboard Jacket Winter Coats,Women's clothing,Detachable Design provides more convenienceand it is suitable for different season ,https://fakestoreapi.com/img/51Y5NI-I5jL._AC_UX679_.jpg,1799,TRUE
16,Women'sHooded Leather Jacket,Women's clothing, Faux leather material for style and comfort Button detail on waist ,https://fakestoreapi.com/img/81XH0e8fefL._AC_UY879_.jpg,1199,TRUE
17,Rain Jacket Women Windbreaker ,Women's clothing,Lightweight perfet for trip or casual wear Long sleeve with hooded,https://fakestoreapi.com/img/71HblAHs5xL._AC_UY879_-2.jpg,749,TRUE
18,MBJ Women's Short Sleeve Neck V,Women's clothing,Do Not Bleach Lightweight fabric with great stretch for comfort,https://fakestoreapi.com/img/71z3kpMAYsL._AC_UY879_.jpg,599,TRUE
19,Opna Women's Short Sleeve Moisture,Women's clothing,Soft Lightweight Fabric with comfortable V-neck collar and a slimmer fit,https://fakestoreapi.com/img/51eg55uWmdL._AC_UX679_.jpg,499,TRUE
20,DANVOUY Womens T Shirt Casual Cotton Short,Women's clothing, The fabric is soft and has some stretch,https://fakestoreapi.com/img/61pHAEJ4NML._AC_UX679_.jpg,349,TRUE
